,date,hour,season,year,month,holiday,dow,workingday,weather_condition,casual,registered,cnt,temp,atemp,humidity,windspeed,nCnt,nCasual,nRegistered
1,2011-01-01,1,1,2011,1,0,6,0,1,8,32,40,0.22,0.2727,0.8,0.0,0.016243654822335026,0.024390243902439025,0.0499219968798752
2,2011-01-01,2,1,2011,1,0,6,0,1,5,27,32,0.22,0.2727,0.8,0.0,0.04060913705583756,0.01524390243902439,0.0421216848673947
3,2011-01-01,3,1,2011,1,0,6,0,1,3,10,13,0.24,0.2879,0.75,0.0,0.03248730964467005,0.009146341463414634,0.015600624024960999
4,2011-01-01,4,1,2011,1,0,6,0,1,0,1,1,0.24,0.2879,0.75,0.0,0.013197969543147208,0.0,0.0015600624024961
5,2011-01-01,5,1,2011,1,0,6,0,2,0,1,1,0.24,0.2576,0.75,0.0896,0.0010152284263959391,0.0,0.0015600624024961
6,2011-01-01,6,1,2011,1,0,6,0,1,2,0,2,0.22,0.2727,0.8,0.0,0.0010152284263959391,0.006097560975609756,0.0
7,2011-01-01,7,1,2011,1,0,6,0,1,1,2,3,0.2,0.2576,0.86,0.0,0.0020304568527918783,0.003048780487804878,0.0031201248049922
8,2011-01-01,8,1,2011,1,0,6,0,1,1,7,8,0.24,0.2879,0.75,0.0,0.003045685279187817,0.003048780487804878,0.0109204368174727
9,2011-01-01,9,1,2011,1,0,6,0,1,8,6,14,0.32,0.3485,0.76,0.0,0.008121827411167513,0.024390243902439025,0.0093603744149766
10,2011-01-01,10,1,2011,1,0,6,0,1,12,24,36,0.38,0.3939,0.76,0.2537,0.014213197969543147,0.036585365853658534,0.0374414976599064
11,2011-01-01,11,1,2011,1,0,6,0,1,26,30,56,0.36,0.3333,0.81,0.2836,0.03654822335025381,0.07926829268292683,0.046801872074883
12,2011-01-01,12,1,2011,1,0,6,0,1,29,55,84,0.42,0.4242,0.77,0.2836,0.05685279187817259,0.08841463414634146,0.08580343213728549
13,2011-01-01,13,1,2011,1,0,6,0,2,47,47,94,0.46,0.4545,0.72,0.2985,0.08527918781725888,0.14329268292682926,0.07332293291731669
14,2011-01-01,14,1,2011,1,0,6,0,2,35,71,106,0.46,0.4545,0.72,0.2836,0.09543147208121827,0.10670731707317073,0.11076443057722309
15,2011-01-01,15,1,2011,1,0,6,0,2,40,70,110,0.44,0.4394,0.77,0.2985,0.10761421319796954,0.12195121951219512,0.10920436817472699
16,2011-01-01,16,1,2011,1,0,6,0,2,41,52,93,0.42,0.4242,0.82,0.2985,0.1116751269035533,0.125,0.0811232449297972
17,2011-01-01,17,1,2011,1,0,6,0,2,15,52,67,0.44,0.4394,0.82,0.2836,0.09441624365482233,0.04573170731707317,0.0811232449297972
18,2011-01-01,18,1,2011,1,0,6,0,3,9,26,35,0.42,0.4242,0.88,0.2537,0.06802030456852792,0.027439024390243903,0.0405616224648986
19,2011-01-01,19,1,2011,1,0,6,0,3,6,31,37,0.42,0.4242,0.88,0.2537,0.03553299492385787,0.018292682926829267,0.0483619344773791
20,2011-01-01,20,1,2011,1,0,6,0,2,11,25,36,0.4,0.4091,0.87,0.2537,0.03756345177664975,0.03353658536585366,0.0390015600624025
21,2011-01-01,21,1,2011,1,0,6,0,2,3,31,34,0.4,0.4091,0.87,0.19399999999999998,0.03654822335025381,0.009146341463414634,0.0483619344773791
22,2011-01-01,22,1,2011,1,0,6,0,2,11,17,28,0.4,0.4091,0.94,0.2239,0.03451776649746193,0.03353658536585366,0.0265210608424337
23,2011-01-01,23,1,2011,1,0,6,0,2,15,24,39,0.46,0.4545,0.88,0.2985,0.028426395939086295,0.04573170731707317,0.0374414976599064
24,2011-01-02,0,1,2011,1,0,0,0,2,4,13,17,0.46,0.4545,0.88,0.2985,0.03959390862944162,0.030303030303030304,0.019374068554396422
25,2011-01-02,1,1,2011,1,0,0,0,2,1,16,17,0.44,0.4394,0.94,0.2537,0.021170610211706103,0.007575757575757576,0.02384500745156483
26,2011-01-02,2,1,2011,1,0,0,0,2,1,8,9,0.42,0.4242,1.0,0.2836,0.021170610211706103,0.007575757575757576,0.011922503725782414
27,2011-01-02,3,1,2011,1,0,0,0,2,2,4,6,0.46,0.4545,0.94,0.19399999999999998,0.0112079701120797,0.015151515151515152,0.005961251862891207
28,2011-01-02,4,1,2011,1,0,0,0,2,2,1,3,0.46,0.4545,0.94,0.19399999999999998,0.007471980074719801,0.015151515151515152,0.0014903129657228018
29,2011-01-02,5,1,2011,1,0,0,0,2,1,1,2,0.44,0.43935,0.855,0.24624999999999997,0.0037359900373599006,0.007575757575757576,0.0014903129657228018
30,2011-01-02,6,1,2011,1,0,0,0,3,0,2,2,0.42,0.4242,0.77,0.2985,0.0024906600249066002,0.0,0.0029806259314456036
31,2011-01-02,7,1,2011,1,0,0,0,2,0,1,1,0.4,0.4091,0.76,0.19399999999999998,0.0024906600249066002,0.0,0.0014903129657228018
32,2011-01-02,8,1,2011,1,0,0,0,3,0,8,8,0.4,0.4091,0.71,0.2239,0.0012453300124533001,0.0,0.011922503725782414
33,2011-01-02,9,1,2011,1,0,0,0,2,1,19,20,0.38,0.3939,0.76,0.2239,0.009962640099626401,0.007575757575757576,0.028315946348733235
34,2011-01-02,10,1,2011,1,0,0,0,2,7,46,53,0.36,0.3485,0.81,0.2239,0.024906600249066,0.05303030303030303,0.06855439642324888
35,2011-01-02,11,1,2011,1,0,0,0,2,16,54,70,0.36,0.3333,0.71,0.2537,0.0660024906600249,0.12121212121212122,0.08047690014903129
36,2011-01-02,12,1,2011,1,0,0,0,2,20,73,93,0.36,0.3333,0.66,0.2985,0.08717310087173101,0.15151515151515152,0.10879284649776454
37,2011-01-02,13,1,2011,1,0,0,0,2,11,64,75,0.36,0.3485,0.66,0.1343,0.11581569115815692,0.08333333333333333,0.09538002980625931
38,2011-01-02,14,1,2011,1,0,0,0,3,4,55,59,0.36,0.3485,0.76,0.19399999999999998,0.09339975093399751,0.030303030303030304,0.08196721311475409
39,2011-01-02,15,1,2011,1,0,0,0,3,19,55,74,0.34,0.3333,0.81,0.1642,0.07347447073474471,0.14393939393939395,0.08196721311475409
40,2011-01-02,16,1,2011,1,0,0,0,3,9,67,76,0.34,0.3333,0.71,0.1642,0.0921544209215442,0.06818181818181818,0.09985096870342772
41,2011-01-02,17,1,2011,1,0,0,0,1,7,58,65,0.34,0.3333,0.57,0.19399999999999998,0.09464508094645081,0.05303030303030303,0.08643815201192251
42,2011-01-02,18,1,2011,1,0,0,0,2,10,43,53,0.36,0.3333,0.46,0.3284,0.08094645080946451,0.07575757575757576,0.06408345752608048
43,2011-01-02,19,1,2011,1,0,0,0,1,1,29,30,0.32,0.2879,0.42,0.4478,0.0660024906600249,0.007575757575757576,0.043219076005961254
44,2011-01-02,20,1,2011,1,0,0,0,1,5,17,22,0.3,0.2727,0.39,0.3582,0.037359900373599,0.03787878787878788,0.02533532041728763
45,2011-01-02,21,1,2011,1,0,0,0,1,11,20,31,0.26,0.2273,0.44,0.3284,0.0273972602739726,0.08333333333333333,0.029806259314456036
