date,season,year,month,holiday,dow,workingday,weather_condition,temp,atemp,windspeed,humidity,casual,registered,cnt,nCasual,nRegistered,nCnt
2011-01-01,1,2011,1,0,6,0,2,0.4,0.4091,0.2537,0.8,328,641,969,0.09379594236989121,0.03208474055879644,0.06382207179983078
2011-01-02,1,2011,1,0,0,0,2,0.36,0.3485,0.23507499999999998,0.735,132,671,803,0.036165833578359306,0.03669020571077679,0.04375679922639913
2011-01-03,1,2011,1,0,1,1,1,0.19333333333333336,0.18939999999999999,0.2836,0.445,120,1231,1351,0.0326374595707145,0.12265888854774332,0.10999637374592046
2011-01-04,1,2011,1,0,2,1,1,0.21000000000000002,0.2197,0.1343,0.61,108,1455,1563,0.029109085563069684,0.15704636168252994,0.1356219025746404
2011-01-05,1,2011,1,0,3,1,1,0.22,0.2273,0.19399999999999998,0.41500000000000004,82,1520,1602,0.021464275213172596,0.1670248695118207,0.14033603287803698
2011-01-06,1,2011,1,0,4,1,1,0.2,0.2273,0.0896,0.53,88,1519,1607,0.023228462216995,0.16687135400675468,0.14094040855795964
2011-01-07,1,2011,1,0,5,1,2,0.2,0.19699999999999998,0.1642,0.47,148,1363,1511,0.040870332255219056,0.14292293521645685,0.12933639550344495
2011-01-08,1,2011,1,0,6,0,2,0.16999999999999998,0.17425,0.2537,0.53,68,891,959,0.017347838870920316,0.07046361682529935,0.06261332043998549
2011-01-09,1,2011,1,0,0,0,1,0.14,0.11365,0.3881,0.445,54,768,822,0.01323140252866804,0.05158120970217992,0.04605342681010516
2011-01-10,1,2011,1,0,1,1,1,0.14,0.1364,0.2239,0.5,41,1280,1321,0.009408997353719493,0.1301811482959779,0.10637011966638463
2011-01-11,1,2011,1,0,2,1,2,0.16,0.18939999999999999,0.1194,0.59,43,1229,1272,0.009997059688326962,0.1223518575376113,0.10044723800314276
2011-01-12,1,2011,1,0,3,1,1,0.16,0.1515,0.3284,0.55,25,1142,1167,0.004704498676859747,0.10899600859686828,0.08775534872476731
2011-01-13,1,2011,1,0,4,1,1,0.14,0.14395,0.2985,0.485,38,1368,1406,0.008526903851808291,0.14369051274178693,0.1166445062250695
2011-01-14,1,2011,1,0,5,1,1,0.16,0.18939999999999999,0.1194,0.54,54,1371,1425,0.01323140252866804,0.14415105925698496,0.11894113380877554
2011-01-15,1,2011,1,0,6,0,1,0.22,0.23485,0.17909999999999998,0.515,222,1026,1248,0.06262863863569539,0.09118821000921093,0.09754623473951408
2011-01-16,1,2011,1,0,0,0,1,0.24,0.2273,0.1642,0.5,251,953,1204,0.07115554248750368,0.07998157813939208,0.09222772875619485
2011-01-17,1,2011,1,1,1,0,2,0.18,0.1818,0.19399999999999998,0.47,117,883,1000,0.0317553660688033,0.06923549278477126,0.06756920101535115
2011-01-18,1,1933,78,0,1,1,1,0.2,0.21265384615384614,0.3515384615384616,0.8,15,692,809,0.0017641870038224052,0.039914031317163035,0.0444820500423063
2011-01-19,1,2011,1,0,3,1,2,0.29000000000000004,0.2803,0.1343,0.8400000000000001,78,1574,1652,0.020288150543957658,0.17531470678538533,0.1463797896772634
2011-01-20,1,2011,1,0,4,1,2,0.26,0.25,0.20894999999999997,0.56,83,1844,1927,0.02175830638047633,0.2167638931532085,0.17962045207300859
2011-01-21,1,2011,1,0,5,1,1,0.2,0.17425,0.34330000000000005,0.41,75,1468,1543,0.019406057042046457,0.1590420632483881,0.13320439985494983
2011-01-22,1,2011,1,0,6,0,1,0.05,0.0758,0.17909999999999998,0.41,93,890,983,0.02469861805351367,0.07031010132023334,0.06551432370361417
2011-01-23,1,2011,1,0,0,0,1,0.1,0.1061,0.2239,0.42,150,839,990,0.041458394589826524,0.062480810561866745,0.06636044965550586
2011-01-24,1,2011,1,0,1,1,1,0.11,0.1364,0.19399999999999998,0.475,86,1331,1417,0.022640399882387533,0.13801043905434449,0.11797413272089931
2011-01-25,1,2011,1,0,2,1,2,0.22,0.2273,0.1343,0.645,186,1800,1986,0.05204351661276095,0.21000921093030397,0.18675208509609573
2011-01-26,1,2011,1,0,3,1,3,0.22,0.2121,0.3284,0.86,79,606,673,0.020582181711261395,0.02671169788148603,0.028043031548410494
2011-01-27,1,1478,532,0,2,1,1,0.22,0.21135294117647058,0.3544117647058823,0.4565588235294118,31,592,743,0.006468685680682152,0.024562480810561865,0.03650429106732745
2011-01-28,1,2011,1,0,5,1,2,0.2,0.2121,0.1045,0.7875000000000001,38,1131,1169,0.008526903851808291,0.10730733804114216,0.08799709899673637
2011-01-29,1,2011,1,0,6,0,1,0.19,0.2121,0.1343,0.64,123,977,1100,0.0335195530726257,0.08366595026097635,0.07965671461380394
2011-01-30,1,2011,1,0,0,0,1,0.22999999999999998,0.23485,0.0,0.725,140,959,1099,0.03851808291678918,0.08090267116978815,0.0795358394778194
2011-01-31,1,2011,1,0,1,1,2,0.16,0.1818,0.19399999999999998,0.59,42,1459,1501,0.009703028521023229,0.15766042370279398,0.12812764414359967
2011-02-01,1,2011,2,0,2,1,2,0.19,0.2273,0.0,0.86,47,1315,1362,0.0111731843575419,0.1355541909732883,0.11132600024175027
2011-02-02,1,2011,2,0,3,1,2,0.22,0.23485,0.2239,0.93,72,1454,1526,0.018523963540135253,0.15689284617746393,0.13114952254321285
2011-02-03,1,2011,2,0,4,1,1,0.19,0.1667,0.2985,0.43,61,1490,1551,0.015289620699794178,0.16241940435984034,0.13417140094282606
2011-02-04,1,2011,2,0,5,1,2,0.22999999999999998,0.2424,0.1343,0.595,88,1624,1712,0.023228462216995,0.1829904820386859,0.15363229783633506
2011-02-05,1,2011,2,0,6,0,3,0.22,0.2424,0.14925,1.0,100,905,1005,0.026756836224639813,0.07261283389622351,0.06817357669527378
2011-02-06,1,2011,2,0,0,0,1,0.27,0.2879,0.1045,0.6,354,1269,1623,0.1014407527197883,0.12849247774025177,0.14287441073371207
2011-02-07,1,2011,2,0,1,1,1,0.29000000000000004,0.3106,0.0,0.725,120,1592,1712,0.0326374595707145,0.17807798587657353,0.15363229783633506
2011-02-08,1,2011,2,0,2,1,1,0.22999999999999998,0.19699999999999998,0.403,0.435,64,1466,1530,0.016171714201705382,0.15873503223825605,0.13163302308715097
2011-02-09,1,2011,2,0,3,1,1,0.14,0.1515,0.17909999999999998,0.425,53,1556,1609,0.012937371361364304,0.17255142769419712,0.14118215882992868
2011-02-10,1,2011,2,0,4,1,1,0.14,0.1515,0.2239,0.405,47,1493,1540,0.0111731843575419,0.16287995087503837,0.13284177444699624
2011-02-11,1,2011,2,0,5,1,1,0.19,0.2197,0.09705,0.545,149,1603,1752,0.04116436342252279,0.17976665643229967,0.15846730327571618
